%lambda %Reflectivity   %wave_up_real   %wave_up_imag %wave_down_re %wave_down_imag 
0.15	0.5258864508	41.8879020479	0	75.6311405585	-113.6543027723
0.1985	0.4476328284	31.6533264845	0	82.6892287907	-76.6795970038
0.247	0.430420352	25.4379971951	0	69.185894753	-58.3606401167
0.2955	0.4519627075	21.2628944405	0	60.9301758	-51.9638229301
0.344	0.4667014478	18.2650735674	0	56.9124537847	-46.3160232913
0.3925	0.4689977068	16.0081154323	0	52.8042807294	-40.4031246704
0.441	0.4700644147	14.2475857306	0	47.9498345996	-35.8901510275
0.4895	0.4779834364	12.8359250402	0	43.4226805354	-33.2546289813
0.538	0.4926344085	11.6787830988	0	40.0959455542	-31.7988654432
0.5865	0.5066102683	10.7130184266	0	37.9994499454	-30.4538698255
0.635	0.5132770355	9.8947800113	0	36.4334584716	-28.5722588925
0.6835	0.5121201127	9.1926632146	0	34.6276447869	-26.260342031
0.732	0.5067727987	8.5835864852	0	32.2774547185	-24.0262630802
0.7805	0.501904569	8.0502053904	0	29.5148963404	-22.2921303965
0.829	0.5020085541	7.5792343874	0	26.6315284649	-21.2346263363
0.8775	0.5107975848	7.1603251364	0	23.9098811946	-20.8444829005
0.926	0.5297132878	6.785297308	0	21.5738789462	-20.9959267121
0.9745	0.5562327867	6.4475990838	0	19.7646838429	-21.4843975772
1.023	0.5846003561	6.1419211214	0	18.5158844569	-22.069534554
1.0715	0.6091661039	5.863915359	0	17.752418756	-22.531522535
1.12	0.6269484097	5.6099868814	0	17.3187050521	-22.7164415285
1.1685	0.637771895	5.3771376185	0	17.0194162426	-22.5606130888
1.217	0.6432491791	5.1628474176	0	16.6654715506	-22.0962865408
1.2655	0.6458528942	4.9649824632	0	16.1197164916	-21.4336195522
1.314	0.6483483966	4.7817239781	0	15.3249367396	-20.7188352849
1.3625	0.6534346747	4.6115121521	0	14.3008350787	-20.0870499083
1.411	0.6633886584	4.4530016351	0	13.1176443871	-19.6316332273
1.4595	0.6795879998	4.3050259042	0	11.8650410634	-19.3958577366
1.508	0.7020204652	4.1665685061	0	10.6281127577	-19.3793109078
1.5565	0.7291610707	4.036739677	0	9.4725975359	-19.5509090731
1.605	0.7585066281	3.9147572007	0	8.438640222	-19.863935168
1.6535	0.7875103016	3.7999306363	0	7.5420945689	-20.2695919686
1.702	0.8143124387	3.6916482416	0	6.7808658598	-20.7260011718
1.7505	0.837950616	3.5893660709	0	6.1425577474	-21.2017938472
1.799	0.8581842649	3.4925988367	0	5.6106357213	-21.6757902083
1.8475	0.8752060774	3.4009122096	0	5.1682469645	-22.1349147935
1.896	0.8894043965	3.3139163013	0	4.8000952045	-22.5718447071
1.9445	0.9012165068	3.231260122	0	4.4930979607	-22.9830524719
1.993	0.9110548792	3.1526268476	0	4.2364148962	-23.367385114
2.0415	0.9192780933	3.077729761	0	4.0212087707	-23.7251063263
2.09	0.9261849502	3.0063087594	0	3.8403276994	-24.0572789294
2.1385	0.932018909	2.9381273356	0	3.6879946207	-24.3653785505
2.187	0.9369761159	2.8729699621	0	3.5595364259	-24.6510578636
2.2355	0.941213875	2.8106398153	0	3.45116013	-24.9160064749
2.284	0.9448582765	2.7509567895	0	3.3597729989	-25.1618706068
2.3325	0.9480105971	2.6937557587	0	3.282840047	-25.3902097059
2.381	0.9507524777	2.6388850513	0	3.2182718785	-25.6024755585
2.4295	0.9531500317	2.5862051069	0	3.1643365763	-25.8000048939
2.478	0.9552570731	2.535587291	0	3.1195904163	-25.9840198658
2.5265	0.9571176418	2.4869128467	0	3.0828232333	-26.1556329366
2.575	0.9587679785	2.440071964	0	3.0530151737	-26.3158540345
2.6235	0.96023807	2.394962953	0	3.0293023033	-26.4655986893
2.672	0.9615528639	2.3514915072	0	3.0109491231	-26.605696379
2.7205	0.9627332248	2.3095700449	0	2.9973264896	-26.7368986441
2.769	0.9637966928	2.2691171207	0	2.9878937858	-26.8598867316
2.8175	0.9647580858	2.230056897	0	2.9821844469	-26.9752786536
2.866	0.9656299821	2.1923186696	0	2.9797941509	-27.08363562
2.9145	0.9664231072	2.155836441	0	2.9803711331	-27.1854678516
2.963	0.9671466474	2.1205485343	0	2.9836082046	-27.2812398012
3.0115	0.967808503	2.0863972463	0	2.9892361424	-27.3713748257
3.06	0.9684154962	2.0533285318	0	2.9970181916	-27.4562593575
3.1085	0.9689735404	2.0212917186	0	3.0067454711	-27.5362466221
3.157	0.9694877802	1.9902392484	0	3.0182331188	-27.6116599499
3.2055	0.969962707	1.9601264412	0	3.0313170431	-27.682795726
3.254	0.9704022553	1.9309112806	0	3.0458511751	-27.7499260183
3.3025	0.9708098825	1.9025542187	0	3.0617051356	-27.8133009194
3.351	0.9711886363	1.8750179968	0	3.0787622461	-27.8731506373
3.3995	0.9715412112	1.8482674826	0	3.0969178287	-27.9296873606
3.448	0.9718699959	1.8222695206	0	3.1160777464	-27.9831069276
3.4965	0.9721771142	1.7969927948	0	3.1361571467	-28.033590319
3.545	0.9724644587	1.772407703	0	3.1570793767	-28.0813049962
3.5935	0.9727337207	1.748486241	0	3.1787750434	-28.1264061022
3.642	0.9729864148	1.7252018965	0	3.2011811973	-28.1690375405
3.6905	0.9732239009	1.7025295508	0	3.2242406211	-28.2093329459
3.739	0.9734474022	1.6804453884	0	3.2479012088	-28.2474165589
3.7875	0.973658022	1.6589268138	0	3.272115422	-28.2834040156
3.836	0.9738567566	1.6379523741	0	3.2968398119	-28.3174030598
3.8845	0.9740445083	1.617501688	0	3.3220345999	-28.3495141886
