 80 81 6480
     0.000000000000000e+00 -3.6396104422787300958219703e-01 3.9372084314035599161840651e-01 6.4425690228806797854588240e-01
     0.000000000000000e+00 -3.2160504987925198072673538e-01 4.5924772812550601619463464e-01 5.9849022186986799987096219e-01
     0.000000000000000e+00 -2.8004065309377901282772427e-01 5.1844712074044996263921803e-01 5.4713610480377794509365685e-01
     0.000000000000000e+00 -2.3952411219920100027280796e-01 5.7068358997146495514840581e-01 4.9147444122706801516997643e-01
     0.000000000000000e+00 -2.0030522514324899940874047e-01 6.1560203700268301130194004e-01 4.3287675855607998798291192e-01
     0.000000000000000e+00 -1.6262578940622798850945685e-01 6.5312876505479100508466672e-01 3.7274125368297500449088488e-01
     0.000000000000000e+00 -1.2671811123914000773993394e-01 6.8345575426123894580143769e-01 3.1243245027949900771702119e-01
     0.000000000000000e+00 -9.2803573418398982441956946e-02 7.0701062316387797146433059e-01 2.5322959756999902092289290e-01
     0.000000000000000e+00 -6.1091270347398828055585085e-02 7.2441570885430695003748269e-01 1.9628674162218198717688722e-01
     0.000000000000000e+00 -3.1776718919982981093053098e-02 7.3644017282315599182140886e-01 1.4260603604685900824833311e-01
     0.000000000000000e+00 -5.0406530937788969481960777e-03 7.4394904465519595682110321e-01 9.3024496004427498219158110e-02
     0.000000000000000e+00 1.8952090394750698704173786e-02 7.4785272045917594585517918e-01 4.8213191043599938623298584e-02
     0.000000000000000e+00 4.0053588303602352671539677e-02 7.4905975129815904889341027e-01 8.6869266288269950115896734e-03
     0.000000000000000e+00 5.8133742881207713104618762e-02 7.4843492324732396880904162e-01 -2.5178163798691741148694234e-02
     0.000000000000000e+00 7.3081083962334453252296385e-02 7.4676377693426398973741698e-01 -5.3122000099687372021151077e-02
     0.000000000000000e+00 8.4803456218722109150043309e-02 7.4472395186319395588014913e-01 -7.4975812225636206953538476e-02
     0.000000000000000e+00 9.3228587327325779243736292e-02 7.4286314905963402033250986e-01 -9.0637964773832929710195572e-02
     0.000000000000000e+00 9.8304533553220385666548964e-02 7.4158312809968496281953776e-01 -1.0005267118369200185501455e-01
     0.000000000000000e+00 1.0000000000000000555111512e-01 7.4112900028813821773354675e-01 -1.0319345150186773341083324e-01
     0.000000000000000e+00 1.0138719982009200548667138e-01 7.4075040479130982440381104e-01 -1.0576205478954575633920854e-01
     0.000000000000000e+00 1.0554024673218799501572818e-01 7.3959786904429203335809007e-01 -1.1344843894302797382422909e-01
     0.000000000000000e+00 1.1243353582104599619473362e-01 7.3762179876435607361884195e-01 -1.2619387591663497327765242e-01
     0.000000000000000e+00 1.2202456766718100533708480e-01 7.3474170438259056581387085e-01 -1.4389903854592217546937150e-01
     0.000000000000000e+00 1.3425421036992099543816437e-01 7.3084941353936705432658982e-01 -1.6642202238911099620999323e-01
     0.000000000000000e+00 1.4904706411523399589569294e-01 7.2581348629349584644643301e-01 -1.9357594900538882543017394e-01
     0.000000000000000e+00 1.6631192604065900275678302e-01 7.1948474095924130899959437e-01 -2.2512649500213360864719903e-01
     0.000000000000000e+00 1.8594235253127400220307663e-01 7.1170276029101087189587815e-01 -2.6078974968541246415298929e-01
     0.000000000000000e+00 2.0781731547998599785032070e-01 7.0230320409014179716677972e-01 -3.0023083415076284863332035e-01
     0.000000000000000e+00 2.3180194846605400860184432e-01 6.9112570736989653585879978e-01 -3.4306371186186895849701273e-01
     0.000000000000000e+00 2.5774837825141699854114563e-01 6.7802209652246392401764297e-01 -3.8885258262975441745368244e-01
     0.000000000000000e+00 2.8549663646838702169006297e-01 6.6286461412782682334210449e-01 -4.3711517817028228138909185e-01
     0.000000000000000e+00 3.1487564587782301828156051e-01 6.4555381140699508168978582e-01 -4.8732817060268301956327264e-01
     0.000000000000000e+00 3.4570427511720397406591587e-01 6.2602575114282932311482455e-01 -5.3893477092255825944278058e-01
     0.000000000000000e+00 3.7779245543570999510407660e-01 6.0425816776453178391648180e-01 -5.9135444121777980264198504e-01
     0.000000000000000e+00 4.1094235253127397999861614e-01 5.8027525839782678751532785e-01 -6.4399448337492426475137108e-01
     0.000000000000000e+00 4.4494958626484298891412550e-01 5.5415083017507760221320723e-01 -6.9626311121840256390669310e-01
     0.000000000000000e+00 4.7960449073189598268029954e-01 5.2600960368723048699024503e-01 -7.4758347603682362425558949e-01
     0.000000000000000e+00 5.1469340692247000923487121e-01 4.9602656627514618570273797e-01 -7.9740801012066386821430797e-01
     0.000000000000000e+00 5.5000000000000004440892099e-01 4.6442437565607386229515896e-01 -8.4523238988175353192389139e-01
     0.000000000000000e+00 5.8530659307752996856066829e-01 4.3146892606883568976883225e-01 -8.9060840643635885705009514e-01
     0.000000000000000e+00 6.2039550926810405062639120e-01 3.9746329657009843439041674e-01 -9.3315506979991047487033029e-01
     0.000000000000000e+00 6.5505041373515704439256524e-01 3.6274039515095601871053077e-01 -9.7256736070153282369687986e-01
     0.000000000000000e+00 6.8905764746872599779692337e-01 3.2765468479036230498024906e-01 -1.0086221743176551068899016e+00
     0.000000000000000e+00 7.2220754456429003820261414e-01 2.9257342217613246937446547e-01 -1.0411811617376374172749820e+00
     0.000000000000000e+00 7.5429572488279594821847240e-01 2.5786785300165759871049431e-01 -1.0701903537224388696103006e+00
     0.000000000000000e+00 7.8512435412217695951397900e-01 2.2390478889794063199758511e-01 -1.0956766321324957758065466e+00
     0.000000000000000e+00 8.1450336353161301161662777e-01 1.9103894260763423784688086e-01 -1.1177412826448631655296140e+00
     0.000000000000000e+00 8.4225162174858303476554511e-01 1.5960632501635915736493132e-01 -1.1365510055190934934898905e+00
     0.000000000000000e+00 8.6819805153394602470484642e-01 1.2991891717507322856484109e-01 -1.1523268700126627628321785e+00
     0.000000000000000e+00 8.9218268452001403545637004e-01 1.0226073065819854535085653e-01 -1.1653317674803387316018188e+00
     0.000000000000000e+00 9.1405764746872597559246287e-01 7.6885268917037757896437711e-02 -1.1758569473805873251137655e+00
     0.000000000000000e+00 9.3368807395934194648390303e-01 5.4014308508063643698982048e-02 -1.1842082124445254542877137e+00
     0.000000000000000e+00 9.5095293588476503821027563e-01 3.3837838723281693509292722e-02 -1.1906923103665003615958540e+00
     0.000000000000000e+00 9.6574578963007895460179952e-01 1.6514936029029161912440316e-02 -1.1956039978362709153003607e+00
     0.000000000000000e+00 9.7797543233281902796960594e-01 2.1753087317043368065228037e-03 -1.1992141776917373263700028e+00
     0.000000000000000e+00 9.8756646417895399547859370e-01 -9.0787715240200073107956769e-03 -1.2017594302600269617897766e+00
     0.000000000000000e+00 9.9445975326781199665759914e-01 -1.7170432048042805206478079e-02 -1.2034331831090843145659619e+00
     0.000000000000000e+00 9.9861280017990794455329251e-01 -2.2046313350506066552902951e-02 -1.2043786949747792291987025e+00
     0.000000000000000e+00 1.0000000000000000000000000e+00 -2.3675054172651116557446471e-02 -1.2046839726723883590153719e+00
     7.853981633974483e-02 -1.0000000000000000000000000e+00 -6.6092046658249803403606393e-01 3.8668694648402801572473209e-01
     7.853981633974483e-02 -9.9830500869478600023398940e-01 -6.5925032472601596822414649e-01 3.8946721111605198117899818e-01
     7.853981633974483e-02 -9.9323048496418298025645299e-01 -6.5418041934550796856484567e-01 3.9774766032438402252324749e-01
     7.853981633974483e-02 -9.8480771493443897135477982e-01 -6.4553624819240895682526116e-01 4.1134580529205500010192509e-01
     7.853981633974483e-02 -9.7308862778364402235098396e-01 -6.3304004894249599200151124e-01 4.2995297261802900568028463e-01
     7.853981633974483e-02 -9.5814547558107499014568020e-01 -6.1633021210799898703669442e-01 4.5312862608590198654212600e-01
     7.853981633974483e-02 -9.4007038782916196861805247e-01 -5.9498796829961697607558335e-01 4.8029455096551099124724260e-01
     7.853981633974483e-02 -9.1897480345447302152450675e-01 -5.6857066151368995665649209e-01 5.1073083068379598881136872e-01
     7.853981633974483e-02 -8.9498878374966994719841296e-01 -5.3665048615684296517969187e-01 5.4357579913000897420261026e-01
     7.853981633974483e-02 -8.6826021050239698961803470e-01 -4.9885702772615597710981206e-01 5.7783217801052200179867668e-01
     7.853981633974483e-02 -8.3895387425487299992710177e-01 -4.5492135531932997860593559e-01 6.1238136615096705472893746e-01
     7.853981633974483e-02 -8.0725045831541097918204741e-01 -4.0471884788008599675990240e-01 6.4600731524295296193116656e-01
     7.853981633974483e-02 -7.7334542478573298218691434e-01 -3.4830749604613797654195650e-01 6.7743061425397699260031459e-01
     7.853981633974483e-02 -7.3744780947211896471316095e-01 -2.8595821557843398297293902e-01 7.0535236267333700777015792e-01
     7.853981633974483e-02 -6.9977893311014305322004248e-01 -2.1817383276443999551297281e-01 7.2850623475844300536152787e-01
     7.853981633974483e-02 -6.6057103684875095872541806e-01 -1.4569392033219000226473838e-01 7.4571595609290197703700187e-01
     7.853981633974483e-02 -6.2006585040634198957576473e-01 -6.9483585986901172382168568e-02 7.5595438883021603970746582e-01
     7.853981633974483e-02 -5.7851310172667602671481291e-01 9.2944077803087579020546727e-03 7.5839971516074100588156170e-01
     7.853981633974483e-02 -5.3616897732305301982336232e-01 8.9323302897705791902893679e-02 7.5248395778698595748323896e-01
     7.853981633974483e-02 -4.9329454280327200699218793e-01 1.6918932182535800778921953e-01 7.3792936743924897324831136e-01
     7.853981633974483e-02 -4.5015413331334397373240108e-01 2.4744806887950698826017515e-01 7.1476905269416701749207732e-01
     7.853981633974483e-02 -4.0701372382341499678304331e-01 3.2269538042928497256767173e-01 6.8334955451348500243824446e-01
