101
75.6311405585	113.6543027723	41.8879020479	0
82.6892287907	76.6795970038	31.6533264845	0
69.185894753	58.3606401167	25.4379971951	0
60.9301758	51.9638229301	21.2628944405	0
56.9124537847	46.3160232913	18.2650735674	0
52.8042807294	40.4031246704	16.0081154323	0
47.9498345996	35.8901510275	14.2475857306	0
43.4226805354	33.2546289813	12.8359250402	0
40.0959455542	31.7988654432	11.6787830988	0
37.9994499454	30.4538698255	10.7130184266	0
36.4334584716	28.5722588925	9.8947800113	0
34.6276447869	26.260342031	9.1926632146	0
32.2774547185	24.0262630802	8.5835864852	0
29.5148963404	22.2921303965	8.0502053904	0
26.6315284649	21.2346263363	7.5792343874	0
23.9098811946	20.8444829005	7.1603251364	0
21.5738789462	20.9959267121	6.785297308	0
19.7646838429	21.4843975772	6.4475990838	0
18.5158844569	22.069534554	6.1419211214	0
17.752418756	22.531522535	5.863915359	0
17.3187050521	22.7164415285	5.6099868814	0
17.0194162426	22.5606130888	5.3771376185	0
16.6654715506	22.0962865408	5.1628474176	0
16.1197164916	21.4336195522	4.9649824632	0
15.3249367396	20.7188352849	4.7817239781	0
14.3008350787	20.0870499083	4.6115121521	0
13.1176443871	19.6316332273	4.4530016351	0
11.8650410634	19.3958577366	4.3050259042	0
10.6281127577	19.3793109078	4.1665685061	0
9.4725975359	19.5509090731	4.036739677	0
8.438640222	19.863935168	3.9147572007	0
7.5420945689	20.2695919686	3.7999306363	0
6.7808658598	20.7260011718	3.6916482416	0
6.1425577474	21.2017938472	3.5893660709	0
5.6106357213	21.6757902083	3.4925988367	0
5.1682469645	22.1349147935	3.4009122096	0
4.8000952045	22.5718447071	3.3139163013	0
4.4930979607	22.9830524719	3.231260122	0
4.2364148962	23.367385114	3.1526268476	0
4.0212087707	23.7251063263	3.077729761	0
3.8403276994	24.0572789294	3.0063087594	0
3.6879946207	24.3653785505	2.9381273356	0
3.5595364259	24.6510578636	2.8729699621	0
3.45116013	24.9160064749	2.8106398153	0
3.3597729989	25.1618706068	2.7509567895	0
3.282840047	25.3902097059	2.6937557587	0
3.2182718785	25.6024755585	2.6388850513	0
3.1643365763	25.8000048939	2.5862051069	0
3.1195904163	25.9840198658	2.535587291	0
3.0828232333	26.1556329366	2.4869128467	0
3.0530151737	26.3158540345	2.440071964	0
3.0293023033	26.4655986893	2.394962953	0
3.0109491231	26.605696379	2.3514915072	0
2.9973264896	26.7368986441	2.3095700449	0
2.9878937858	26.8598867316	2.2691171207	0
2.9821844469	26.9752786536	2.230056897	0
2.9797941509	27.08363562	2.1923186696	0
2.9803711331	27.1854678516	2.155836441	0
2.9836082046	27.2812398012	2.1205485343	0
2.9892361424	27.3713748257	2.0863972463	0
2.9970181916	27.4562593575	2.0533285318	0
3.0067454711	27.5362466221	2.0212917186	0
3.0182331188	27.6116599499	1.9902392484	0
3.0313170431	27.682795726	1.9601264412	0
3.0458511751	27.7499260183	1.9309112806	0
3.0617051356	27.8133009194	1.9025542187	0
3.0787622461	27.8731506373	1.8750179968	0
3.0969178287	27.9296873606	1.8482674826	0
3.1160777464	27.9831069276	1.8222695206	0
3.1361571467	28.033590319	1.7969927948	0
3.1570793767	28.0813049962	1.772407703	0
3.1787750434	28.1264061022	1.748486241	0
3.2011811973	28.1690375405	1.7252018965	0
3.2242406211	28.2093329459	1.7025295508	0
3.2479012088	28.2474165589	1.6804453884	0
3.272115422	28.2834040156	1.6589268138	0
3.2968398119	28.3174030598	1.6379523741	0
3.3220345999	28.3495141886	1.617501688	0
3.3476633068	28.3798312366	1.5975553794	0
3.3736924251	28.4084419056	1.5780950162	0
3.4000911293	28.435428246	1.5591030539	0
3.4268310183	28.4608670949	1.5405627822	0
3.4538858862	28.4848304742	1.5224582765	0
3.4812315182	28.5073859542	1.5047743521	0
3.5088455087	28.528596985	1.4874965216	0
3.5367070979	28.5485231998	1.4706109555	0
3.5647970261	28.5672206922	1.4541044451	0
3.5930974024	28.5847422699	1.4379643683	0
3.6215915867	28.6011376874	1.4221786571	0
3.6502640841	28.6164538604	1.4067357679	0
3.6791004487	28.6307350613	1.3916246528	0
3.7080871972	28.6440231005	1.3768347337	0
3.7372117312	28.6563574924	1.3623558775	0
3.7664622655	28.667775609	1.348178373	0
3.7958277648	28.6783128208	1.3342929087	0
3.8252978845	28.6880026279	1.3206905533	0
3.8548629181	28.6968767804	1.3073627356	0
3.8845137488	28.7049653903	1.2943012271	0
3.9142418053	28.7122970347	1.2814981251	0
3.9440390217	28.7188988517	1.268945836	0
3.9738978004	28.7247966292	1.2566370614	0

