 80 81 6480
     0.000000000000000e+00 -2.0610737385376298735906175e-01 6.5219081057747496643628438e-01 3.6897796751848299656728614e-01
     0.000000000000000e+00 -1.7527597583490800436933910e-01 6.7864692264866499638031883e-01 3.1770418362883201535140643e-01
     0.000000000000000e+00 -1.4644660940672599158673961e-01 6.9974778985483498949804471e-01 2.6804966798903101521389658e-01
     0.000000000000000e+00 -1.1979701719998500641928274e-01 7.1602890908229499533632634e-01 2.2090766232561401261058620e-01
     0.000000000000000e+00 -9.5491502812526274368565282e-02 7.2811375912785003539084983e-01 1.7705351644191799631578021e-01
     0.000000000000000e+00 -7.3679917822953910899741459e-02 7.3667531443403400093217215e-01 1.3713888952169001056446973e-01
     0.000000000000000e+00 -5.4496737905816050595575462e-02 7.4239878961667105095045827e-01 1.0169381048723799554345248e-01
     0.000000000000000e+00 -3.8060233744356630758431947e-02 7.4594732274855701792404261e-01 7.1134981548901715653343558e-02
     0.000000000000000e+00 -2.4471741852423230939583831e-02 7.4793176964449903376674911e-01 4.5778399624070383044927013e-02
     0.000000000000000e+00 -1.3815039801161719743016754e-02 7.4888527222116296755416442e-01 2.5854263979447369287134606e-02
     0.000000000000000e+00 -6.1558297024311148248898462e-03 7.4924283955829995562680779e-01 1.1522208394906949951996822e-02
     0.000000000000000e+00 -1.5413331334360180768783266e-03 7.4932587709381603957581319e-01 2.8851054157131941248215501e-03
     0.000000000000000e+00 0.0000000000000000000000000e+00 7.4933143128769708063430244e-01 1.2683754496856960981560075e-13
     0.000000000000000e+00 1.5413331334360180768783266e-03 7.4932943747292846126129007e-01 -2.8851099849586184231675645e-03
     0.000000000000000e+00 6.1558297024311703360410775e-03 7.4929962872671296292281795e-01 -1.1522499485044010447687413e-02
     0.000000000000000e+00 1.3815039801161719743016754e-02 7.4917126143321211007020111e-01 -2.5857553982001856701655740e-02
     0.000000000000000e+00 2.4471741852423230939583831e-02 7.4882888833365290892629673e-01 -4.5796683124649094354108314e-02
     0.000000000000000e+00 3.8060233744356630758431947e-02 7.4811603630957246302557451e-01 -7.1203739444409136494229529e-02
     0.000000000000000e+00 5.4496737905816113045620597e-02 7.4684032528358679225988226e-01 -1.0189552611518822022862452e-01
     0.000000000000000e+00 7.3679917822953910899741459e-02 7.4477997794053751867693336e-01 -1.3763688163493464911013575e-01
     0.000000000000000e+00 9.5491502812526329879716513e-02 7.4169162984774605895665900e-01 -1.7813592022615826193643329e-01
     0.000000000000000e+00 1.1979701719998500641928274e-01 7.3731929550835639819439393e-01 -2.2304006127671566206416287e-01
     0.000000000000000e+00 1.4644660940672599158673961e-01 7.3140428022816394992844380e-01 -2.7193349218429890834514140e-01
     0.000000000000000e+00 1.7527597583490800436933910e-01 7.2369575514037187691229747e-01 -3.2433667124376575063848804e-01
     0.000000000000000e+00 2.0610737385376298735906175e-01 7.1396164015706342631517600e-01 -3.7970838826781083685801832e-01
     0.000000000000000e+00 2.3875071764202598911808195e-01 7.0199937534743006573023649e-01 -4.3745076181442765772544590e-01
     0.000000000000000e+00 2.7300475013022701409326487e-01 6.8764611423431898362679249e-01 -4.9691736912015527227737266e-01
     0.000000000000000e+00 3.0865828381745502584365681e-01 6.7078785120630279870113100e-01 -5.5742448886397377716406254e-01
     0.000000000000000e+00 3.4549150281252599681280913e-01 6.5136700642798095461927232e-01 -6.1826520299318821205503127e-01
     0.000000000000000e+00 3.8327731807204701297564498e-01 6.2938803926194153426365574e-01 -6.7872587081719948365332584e-01
     0.000000000000000e+00 4.2178276747988502348718498e-01 6.0492074559885455897756401e-01 -7.3810427703708336721888372e-01
     0.000000000000000e+00 4.6077045213607797924382226e-01 5.7810101183099327215586527e-01 -7.9572858560944736971975999e-01
