 80 81 6480
     0.000000000000000e+00 -1.0000000000000000000000000e+00 -6.6039540401136898051248636e-01 3.8737091446106197700771645e-01
     0.000000000000000e+00 -9.9830453355322001929295084e-01 -6.5872273940551195892112446e-01 3.9014624488760202281056877e-01
     0.000000000000000e+00 -9.9322858732732599573722609e-01 -6.5364546432878301018831735e-01 3.9841188079736999938518238e-01
     0.000000000000000e+00 -9.8480345621872200645441353e-01 -6.4498966695921700065241566e-01 4.1198531214500400121636403e-01
     0.000000000000000e+00 -9.7308108396233494730154234e-01 -6.3247855102133099247652126e-01 4.3055786528821698988522826e-01
     0.000000000000000e+00 -9.5813374288120800592594151e-01 -6.1575181985860705236035528e-01 4.5368907425267901434295936e-01
     0.000000000000000e+00 -9.4005358830360197242015374e-01 -5.9439232008943798657440993e-01 4.8080092794884798923504832e-01
     0.000000000000000e+00 -9.1895209039475100887273129e-01 -5.6795925431758698120887630e-01 5.1117391695974301324412181e-01
     0.000000000000000e+00 -8.9495934690622103158119671e-01 -5.3602683910846804504757301e-01 5.4394705552662903080829437e-01
     0.000000000000000e+00 -8.6822328108001700641693787e-01 -4.9822674811566797226092262e-01 5.7812407953407196625761344e-01
     0.000000000000000e+00 -8.3890872965260099292095219e-01 -4.5429209064214898239342233e-01 6.1258777847518797177173155e-01
     0.000000000000000e+00 -8.0719642658160095649577670e-01 -4.0410011224668002105531173e-01 6.4612388756533500888679100e-01
     0.000000000000000e+00 -7.7328188876086001446452656e-01 -3.4771036666299898199028462e-01 6.7745515552689594684920849e-01
     0.000000000000000e+00 -7.3737421059377195042827680e-01 -2.8539490475935097579807120e-01 7.0528516422944598218691681e-01
     0.000000000000000e+00 -6.9969477485675102279572002e-01 -2.1765715220624198833476726e-01 7.2835030200009298617658260e-01
     0.000000000000000e+00 -6.6047588780079902193165253e-01 -1.4523666594313300315377546e-01 7.4547711580098596773069630e-01
     0.000000000000000e+00 -6.1995934690622100937673622e-01 -6.9097881862186849577511794e-02 7.5564124685640399192720906e-01
     0.000000000000000e+00 -5.7839495012074804147772511e-01 9.5977601653210887350242686e-03 7.5802345126836800925929083e-01
     0.000000000000000e+00 -5.3603895577212701262226346e-01 8.9535420927165376703271704e-02 7.5205795904270600349406095e-01
     0.000000000000000e+00 -4.9315250265031501664125813e-01 1.6930373586898800342126492e-01 7.3746871715786899148525890e-01
     0.000000000000000e+00 -4.5000000000000001110223025e-01 2.4746107384036500342894271e-01 7.1428990654213297961661056e-01
     0.000000000000000e+00 -4.0684749734968500556320237e-01 3.2260621602592398637909810e-01 6.8286844703798099676106403e-01
     0.000000000000000e+00 -3.6396104422787300958219703e-01 3.9344791848837101788660675e-01 6.4384785816912604161643685e-01
     0.000000000000000e+00 -3.2160504987925198072673538e-01 4.5886785242821698238557815e-01 5.9813461890136598864131656e-01
     0.000000000000000e+00 -2.8004065309377901282772427e-01 5.1797205620234498812948232e-01 5.4684983450457302911473789e-01
     0.000000000000000e+00 -2.3952411219920100027280796e-01 5.7012719773421105529109809e-01 4.9127035565127402660934308e-01
     0.000000000000000e+00 -2.0030522514324899940874047e-01 6.1497947375706296657682515e-01 4.3276433770967698277942759e-01
     0.000000000000000e+00 -1.6262578940622798850945685e-01 6.5245565374400704694579645e-01 3.7272648795989998804500942e-01
     0.000000000000000e+00 -1.2671811123914000773993394e-01 6.8274739027643305266934703e-01 3.1251792487395602115896054e-01
     0.000000000000000e+00 -9.2803573418398982441956946e-02 7.0628126818993697266790832e-01 2.5341474910867101133504775e-01
     0.000000000000000e+00 -6.1091270347398828055585085e-02 7.2367801118609598187703114e-01 1.9656824539083400660288703e-01
     0.000000000000000e+00 -3.1776718919982981093053098e-02 7.3570473767958599609073644e-01 1.4297827596290399454481701e-01
     0.000000000000000e+00 -5.0406530937788969481960777e-03 7.4322416287928705358467596e-01 9.3480068861925211254337853e-02
     0.000000000000000e+00 1.8952090394750698704173786e-02 7.4714425076741097786481305e-01 4.8743400774169748368436217e-02
     0.000000000000000e+00 4.0053588303602352671539677e-02 7.4837114113784497515524663e-01 9.2822321560283183733419676e-03
     0.000000000000000e+00 5.8133742881207713104618762e-02 7.4776734690576196484812499e-01 -2.4527773506694560551322226e-02
     0.000000000000000e+00 7.3081083962334453252296385e-02 7.4611636678411596967919195e-01 -5.2426719330574397814892507e-02
     0.000000000000000e+00 8.4803456218722109150043309e-02 7.4409409900516398916892058e-01 -7.4245825215468269631102771e-02
     0.000000000000000e+00 9.3228587327325779243736292e-02 7.4224685229513798212508391e-01 -8.9883341471099650887843779e-02
     0.000000000000000e+00 9.8304533553220385666548964e-02 7.4097537414136305233824942e-01 -9.9283340037662731747403200e-02
     0.000000000000000e+00 1.0000000000000000555111512e-01 7.4052416240638907485305253e-01 -1.0241923132377861449526790e-01
     0.000000000000000e+00 1.0138719982009200548667138e-01 7.4014797372214624626707291e-01 -1.0498384054264492393215846e-01
     0.000000000000000e+00 1.0554024673218799501572818e-01 7.3900274074982386096621667e-01 -1.1265828080796344567993117e-01
     0.000000000000000e+00 1.1243353582104599619473362e-01 7.3703911263771837436564738e-01 -1.2538394245942124927140071e-01
     0.000000000000000e+00 1.2202456766718100533708480e-01 7.3417699362521238182210936e-01 -1.4306170671088874746246233e-01
     0.000000000000000e+00 1.3425421036992099543816437e-01 7.3030873776789351214944190e-01 -1.6554998283668603820117937e-01
     0.000000000000000e+00 1.4904706411523399589569294e-01 7.2530353951262505063368735e-01 -1.9266233049049413805775544e-01
     0.000000000000000e+00 1.6631192604065900275678302e-01 7.1901292840032149378259874e-01 -2.2416500922567697551279764e-01
     0.000000000000000e+00 1.8594235253127400220307663e-01 7.1127723823249211498875866e-01 -2.5977485539782863011026848e-01
     0.000000000000000e+00 2.0781731547998599785032070e-01 7.0193287772074008934453104e-01 -2.9915791643322842130459094e-01
     0.000000000000000e+00 2.3180194846605400860184432e-01 6.9082018308627812785971400e-01 -3.4192926968240405782850644e-01
     0.000000000000000e+00 2.5774837825141699854114563e-01 6.7779158679447903956827304e-01 -3.8765441521535409785670367e-01
     0.000000000000000e+00 2.8549663646838702169006297e-01 6.6271979519403534375499021e-01 -4.3585255870541239620052920e-01
     0.000000000000000e+00 3.1487564587782301828156051e-01 6.4550563650543468785514278e-01 -4.8600199449496545023308158e-01
     0.000000000000000e+00 3.4570427511720397406591587e-01 6.2608522460559123956613803e-01 -5.3754766556182209669145777e-01
     0.000000000000000e+00 3.7779245543570999510407660e-01 6.0443608792906644566755858e-01 -5.8991082492004853765621419e-01
     0.000000000000000e+00 4.1094235253127397999861614e-01 5.8058193969751492602426879e-01 -6.4250056308284275718989420e-01
     0.000000000000000e+00 4.4494958626484298891412550e-01 5.5459581673679758662132144e-01 -6.9472681145320169804335819e-01
     0.000000000000000e+00 4.7960449073189598268029954e-01 5.2660138806688161494662381e-01 -7.4601429538430452659270031e-01
     0.000000000000000e+00 5.1469340692247000923487121e-01 4.9677232742512544838575650e-01 -7.9581680590582770662422263e-01
     0.000000000000000e+00 5.5000000000000004440892099e-01 4.6532974972830731807960092e-01 -8.4363109628866850275841216e-01
     0.000000000000000e+00 5.8530659307752996856066829e-01 4.3253782218376929380454499e-01 -8.8900969576598409815915147e-01
     0.000000000000000e+00 6.2039550926810405062639120e-01 3.9869776729061312536828154e-01 -9.3157197043508332967576280e-01
     0.000000000000000e+00 6.5505041373515704439256524e-01 3.6414056824728990857664712e-01 -9.7101284831789913543076409e-01
     0.000000000000000e+00 6.8905764746872599779692337e-01 3.2921875920357779321534508e-01 -1.0071087546816652746883847e+00
     0.000000000000000e+00 7.2220754456429003820261414e-01 2.9429772717470248366566921e-01 -1.0397204639244379542617480e+00
     0.000000000000000e+00 7.5429572488279594821847240e-01 2.5974696569446920069168527e-01 -1.0687927517566491175671217e+00
     0.000000000000000e+00 7.8512435412217695951397900e-01 2.2593170182483551799990096e-01 -1.0943509110234728165522711e+00
     0.000000000000000e+00 8.1450336353161301161662777e-01 1.9320527034246670616823849e-01 -1.1164943617882596704760090e+00
     0.000000000000000e+00 8.4225162174858303476554511e-01 1.6190253678806248993637951e-01 -1.1353877287832705444969861e+00
     0.000000000000000e+00 8.6819805153394602470484642e-01 1.3233458155695118629857632e-01 -1.1512498678785669792290491e+00
     0.000000000000000e+00 8.9218268452001403545637004e-01 1.0478475842286341657150217e-01 -1.1643413927128998253124337e+00
     0.000000000000000e+00 9.1405764746872597559246287e-01 7.9506141147635142618632642e-02 -1.1749512821943888241094101e+00
