    7.1366419884E-02    5.9180513345E-06    1.1678661217E-07
    7.1439190782E-02    4.3608417567E-06   -1.2597829954E-06
    7.1511961680E-02    2.9021972672E-06   -1.9107074572E-06
    7.1584732578E-02    1.6850553652E-06   -2.0520143511E-06
    7.1657503476E-02    7.6341749019E-07   -1.8761460520E-06
    7.1730274375E-02    1.3153599231E-07   -1.5369399277E-06
    7.1803045273E-02   -2.5095863387E-07   -1.1456512391E-06
    7.1875816171E-02   -4.3967375450E-07   -7.7409587105E-07
    7.1948587069E-02   -4.9198825770E-07   -4.6164507015E-07
    7.2021357968E-02   -4.5888119124E-07   -2.2352308831E-07
    7.2094128866E-02   -3.8096085497E-07   -5.8936084169E-08
    7.2166899764E-02   -2.8749273795E-07    4.2184254740E-08
    7.2239670662E-02   -1.9734648114E-07    9.3874251858E-08
    7.2312441560E-02   -1.2088326031E-07    1.1072061740E-07
    7.2385212459E-02   -6.2225548464E-08    1.0559560322E-07
    7.2457983357E-02   -2.1365266627E-08    8.8739445533E-08
    7.2530754255E-02    4.0667610234E-09    6.7529300767E-08
    7.2603525153E-02    1.7471546297E-08    4.6707156209E-08
    7.2676296052E-02    2.2381698145E-08    2.8871763562E-08
    7.2749066950E-02    2.1888042985E-08    1.5102770304E-08
    7.2821837848E-02    1.8475861789E-08    5.4358877490E-09
    7.2894608746E-02    1.3913238134E-08   -6.5236521297E-10
    7.2967379644E-02    9.3371790745E-09   -3.9508299585E-09
    7.3040150543E-02    5.3790599580E-09   -5.2592975708E-09
    7.3112921441E-02    2.2955278045E-09   -5.3062780247E-09
    7.3185692339E-02    1.1862141098E-10   -4.6581230056E-09
    7.3258463237E-02   -1.2675794521E-09   -3.7209082888E-09
    7.3331234135E-02   -2.0347936466E-09   -2.7714872232E-09
    7.3404005034E-02   -2.3532564332E-09   -1.9221570132E-09
    7.3476775932E-02   -2.3930845669E-09   -1.2726214448E-09
    7.3549546830E-02   -2.2705961899E-09   -7.9457066548E-10
    7.3622317728E-02   -2.0930526299E-09   -4.9623003169E-10
    7.3695088627E-02   -1.9033069924E-09   -3.2701727401E-10
    7.3767859525E-02   -1.7336262854E-09   -2.5279020041E-10
    7.3840630423E-02   -1.5837994579E-09   -2.3569983684E-10
    7.3913401321E-02   -1.4949861150E-09   -2.4495806707E-10
    7.3986172219E-02   -1.4268252027E-09   -2.7574761217E-10
    7.4058943118E-02   -1.3848967229E-09   -3.0902809694E-10
    7.4131714016E-02   -1.3771010342E-09   -3.4394051695E-10
    7.4204484914E-02   -1.3612844858E-09   -3.7315745495E-10
